processid	sampleid	bin_uri	genus_name	lat	lon
ABWYT9399-24	CBG-A25939-D02	BOLD:ABZ6604	NA	60.7884	-135.188
AICH072-06	DHJPAR0009506	BOLD:AAX0407	JoppagroupG1	10.9146	-85.4626
ASHYE2747-11	DHJPAR0040611	BOLD:AAP9563	Tropicolabus	10.9269	-85.4682
CNBAB004-12	BIOUG03119-A09	BOLD:AAK3172	NA	51.209	-115.51
CNFNF2430-14	BIOUG10545-A07	BOLD:AAH1882	NA	48.857	-64.376
CNGSF487-15	BIOUG21527-G05	BOLD:AAH1550	Aethecerus	49.001	-106.557
CNGSG2362-15	BIOUG21834-E10	BOLD:ACE9045	Ichneumon	49.001	-106.557
CNJAG1112-12	BIOUG03974-E11	BOLD:ABZ7151	NA	52.867	-118.077
CNPER042-14	BIOUG10965-G12	BOLD:ACC2867	Cratichneumon	46.4123	-63.085
CNPKK294-14	BIOUG11926-A05	BOLD:AAU8756	Stenodontus	48.601	-86.2893
CNPKO1389-14	BIOUG14107-E11	BOLD:AAU8756	Stenodontus	48.601	-86.2893
COLHH2022-18	CollHH1831	BOLD:AAI5303	Epitomus	59.288	5.264
CRALC25412-21	BIOUG72630-F05	BOLD:AEM5579	ichneuMalaise01	9.015	-83.004
CRATA21619-22	BIOUG93720-B03	BOLD:AEY4948	ichneuMalaise01	9.016	-83.004
CRATA28957-22	BIOUG91399-H01	BOLD:AAI7599	Stenodontus	9.016	-83.004
CRATC15586-23	CBG-A10606-D05	BOLD:AEY4948	ichneuMalaise01	9.01585	-83.004
CRCEA21008-22	BIOUG76503-D08	BOLD:AEP2706	ichneuMalaise01	10.327	-84.079
CRPEA44262-21	BIOUG71250-H02	BOLD:ACK6099	ichneuMalaise01	9.973	-84.094
CRPSA25191-23	BIOUG99528-F10	BOLD:ACG8317	Setanta	9.974	-84.093
FBIIA202-10	BC ZSM HYM 02672	BOLD:AAI7601	Ichneumon	47.2	13.5
FBIIA981-10	BC ZSM HYM 03926	BOLD:ADL7865	Ichneumon	48.4686	11.9357
GBCHA1036-13	BC ZSM HYM 18421	BOLD:AAJ5832	Ctenichneumon	49.0298	12.1567
GMAAI585-16	BIOUG28011-A10	BOLD:ADA4861	ichneuMalaise01	10.8801	-85.389
GMBMA020-17	BIOUG36513-G06	BOLD:AAI1335	Linycus	53.9156	27.6062
GMCHA746-14	BIOUG14140-C05	BOLD:ACO5721	NA	34.088	107.711
GMCHA748-14	BIOUG14140-C07	BOLD:ACO5721	NA	34.088	107.711
GMCVE088-16	BIOUG28055-E05	BOLD:AAH2004	Phaeogenes	48.5197	-123.43
GMGML385-14	BIOUG17231-E07	BOLD:ACC3068	Exephanes	50.552	7.17
GMGRG1463-13	BIOUG07416-H06	BOLD:ACE1042	Tycherus	48.951	13.422
GMHKM298-15	BIOUG19609-C01	BOLD:ACT6099	NA	15.5311	-88.2749
GMHLT021-16	BIOUG26904-D11	BOLD:ACE2493	NA	15.494	-88.214
GMNWI1348-14	BIOUG15810-F03	BOLD:AAU8370	Epitomus	63.405	10.383
GMOYE126-19	BIOUG45242-B10	BOLD:AAE8982	Stenichneumon	62.5347	-113.976
GMSCE225-20	BIOUG51795-A10	BOLD:AAH2004	Phaeogenes	33.997	-119.716
GMSJO174-18	BIOUG38504-G04	BOLD:ABX3584	NA	-26.1826	27.9975
HCWC709-06	DHJPAR0009293	BOLD:AAD0432	Joppa	10.8647	-85.4153
HPPPC186-13	BIOUG07148-H05	BOLD:AAG8176	NA	44.623	-63.569
HYCNG397-12	CNCHYM 014337	BOLD:ACF2810	Ichneumon	81.8318	-71.4411
JCCCO011-16	BIOUG29981-G04	BOLD:ADB9082	ichneuMalaise01	10.763	-85.334
JSHYN205-11	BIOUG01045-F04	BOLD:AAU8850	NA	44.621	-75.773
LKMSC011-15	NZAC04105779	BOLD:AAH7291	Aucklandella	-36.971	174.514
LKMSC222-16	NZAC04139267	BOLD:AAH7290	Aucklandella	-36.9188	174.603
OPPEE3381-17	BIOUG33828-B07	BOLD:AAU8294	Asthenolabus	44.6337	-80.6983
OPPEE3402-17	BIOUG33828-D04	BOLD:AAU8294	Asthenolabus	44.6337	-80.6983
OPPOE258-17	BIOUG33401-C11	BOLD:AAH7283	NA	44.2829	-77.7963
OPPQG437-17	BIOUG34607-G08	BOLD:AAH2179	NA	44.5178	-76.5394
OPPQG444-17	BIOUG34607-H03	BOLD:AAH7288	NA	44.5178	-76.5394
PLABF076-19	BIOUG48944-C10	BOLD:ACR7671	ichneuMalaise01	10.763	-85.334
PLECI3558-20	BIOUG56903-B11	BOLD:ADA8392	ichneuMalaise01	10.763	-85.334
PLLBG087-20	BIOUG51744-B09	BOLD:AAL1427	Diacantharius	10.763	-85.334
PLUAT040-20	BIOUG55292-A11	BOLD:ADB7911	ichneuMalaise01	10.763	-85.334
SMTPJ492-14	BIOUG16108-B10	BOLD:ACI9210	Asthenolabus	43.495	-80.624
SSKUB518-15	BIOUG26265-D07	BOLD:ACE9038	Ichneumon	60.748	-137.513
